City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Great Falls,47.5002,-111.3008,53.6,30,75,14.97,US,1619469171
Muros,42.7762,-9.0603,57.0,87,56,5.99,ES,1619468939
Alofi,-19.0595,-169.9187,82.4,83,40,6.91,NU,1619468872
Longyearbyen,78.2186,15.6401,23.0,63,40,12.66,SJ,1619468688
Narsaq,60.9167,-46.05,37.4,87,75,10.36,GL,1619468832
Castro,-24.7911,-50.0119,67.15,68,19,5.12,BR,1619468722
Port Hardy,50.6996,-127.4199,50.0,87,20,6.91,CA,1619468789
San Fernando del Valle de Catamarca,-28.4696,-65.7852,75.0,61,19,1.99,AR,1619469174
Hermanus,-34.4187,19.2345,57.99,89,49,5.61,ZA,1619468681
Tiksi,71.6872,128.8694,16.27,95,100,8.72,RU,1619468795
Dikson,73.5069,80.5464,31.91,98,100,18.86,RU,1619468866
Kruisfontein,-34.0033,24.7314,63.0,86,66,4.0,ZA,1619468683
Naze,28.3667,129.4833,62.55,66,3,11.03,JP,1619469176
Poum,-20.2333,164.0167,75.51,72,58,19.44,NC,1619469177
Järvenpää,60.4737,25.0899,37.4,93,75,6.91,FI,1619469178
Ponta do Sol,32.6667,-17.1,62.01,75,93,1.99,PT,1619468867
Ippy,6.2679,21.2247,75.69,66,44,3.78,CF,1619469179
Qandala,11.472,49.8728,84.9,65,92,3.49,SO,1619469179
Methóni,36.8197,21.7049,62.01,87,84,2.3,GR,1619469180
Atuona,-9.8,-139.0333,79.86,75,48,15.66,PF,1619468701
Mount Gambier,-37.8333,140.7667,53.6,87,90,4.61,AU,1619468899
Cidreira,-30.1811,-50.2056,68.67,61,51,12.26,BR,1619468822
Mandalgovi,45.7625,106.2708,27.72,87,100,12.5,MN,1619469182
Tual,-5.6667,132.75,82.99,57,69,4.23,ID,1619469183
Grootfontein,-19.5667,18.1167,62.69,37,4,1.99,NA,1619468925
Kirs,59.3388,52.2447,34.52,97,100,8.95,RU,1619469184
Kavieng,-2.5744,150.7967,81.66,75,67,0.18,PG,1619468712
Vardø,70.3705,31.1107,32.0,86,75,8.05,NO,1619468815
Rikitea,-23.1203,-134.9692,77.25,76,49,9.08,PF,1619468794
Jamestown,42.097,-79.2353,55.0,32,20,8.05,US,1619468640
Tuktoyaktuk,69.4541,-133.0374,8.6,72,1,16.11,CA,1619468798
Aklavik,68.2191,-135.0107,17.6,53,100,10.36,CA,1619468856
Albany,42.6001,-73.9662,55.0,28,1,7.0,US,1619468514
Faanui,-16.4833,-151.75,80.83,67,98,4.81,PF,1619468736
Saint-Joseph,-21.3667,55.6167,77.0,73,90,11.5,RE,1619468976
Eucaliptus,-17.5833,-67.5167,56.68,10,0,16.26,BO,1619469188
Dumbéa,-22.15,166.45,75.99,88,75,5.75,NC,1619469189
Okotoks,50.7289,-113.9828,55.99,29,6,3.0,CA,1619469189
Safi,32.2994,-9.2372,63.86,84,2,15.79,MA,1619469190
Hasaki,35.7333,140.8333,39.2,81,20,1.14,JP,1619468789
Vila,42.0304,-8.1588,55.99,86,100,1.99,PT,1619468791
Dingle,10.9995,122.6711,74.71,88,78,6.6,PH,1619469191
Acapulco de Juárez,16.8634,-99.8901,87.8,62,1,9.22,MX,1619468864
Dafeng,23.4517,108.5881,65.25,94,100,3.15,CN,1619469193
Hirara,24.8,125.2833,71.87,64,100,13.42,JP,1619468814
Puck,54.7179,18.4084,35.01,60,40,2.3,PL,1619469194
Honningsvåg,70.9821,25.9704,32.0,93,75,11.5,NO,1619468875
Vila Velha,-20.3297,-40.2925,82.0,78,75,8.05,BR,1619468941
Luanda,-8.8368,13.2343,77.0,83,75,11.5,AO,1619469039
Khatanga,71.9667,102.5,16.63,93,100,11.32,RU,1619468702
Lagoa,39.05,-27.9833,61.09,78,98,8.25,PT,1619468686
Yazman,29.1212,71.7446,88.21,7,0,8.52,PK,1619469197
Shingū,33.7333,135.9833,50.36,70,76,5.23,JP,1619469198
Clyde River,70.4692,-68.5914,24.8,100,90,5.23,CA,1619468748
Broadford,-37.2,145.0667,51.01,91,54,5.44,AU,1619469199
Birjand,32.8663,59.2211,69.8,16,40,16.11,IR,1619469200
Abū Zabad,12.35,29.25,88.75,17,90,4.65,SD,1619468986
Arraial do Cabo,-22.9661,-42.0278,77.0,83,40,4.61,BR,1619468781
Sol'-Iletsk,51.1631,54.9918,45.32,73,100,13.0,RU,1619469194
San Francisco del Mar Viejo,16.2333,-94.65,86.72,67,27,14.92,MX,1619469202
Odzun,41.0532,44.6134,53.38,96,100,3.04,AM,1619469204
Isangel,-19.55,169.2667,71.6,88,20,7.52,VU,1619468799
Brandon,27.9378,-82.2859,88.0,42,40,4.61,US,1619469019
Belz,47.6751,-3.168,54.0,76,68,8.01,FR,1619469205
Fortuna,40.5982,-124.1573,55.0,71,90,10.36,US,1619468732
Ongole,15.5,80.05,80.17,81,0,9.62,IN,1619469206
Sawākin,19.1059,37.3321,83.52,70,27,0.83,SD,1619469207
Maceió,-9.6658,-35.7353,82.4,74,20,11.5,BR,1619468644
San Isidro,-12.1167,-77.05,72.0,73,20,6.91,PE,1619469208
La Santisima Trinidad,-14.8333,-64.9,77.0,69,75,9.22,BO,1619469205
Zemio,5.0314,25.1361,73.08,78,49,3.27,CF,1619469209
Athani,16.7333,75.0667,76.69,59,72,4.9,IN,1619469210
Portland,45.5234,-122.6762,57.99,71,90,8.05,US,1619468785
Hofn,64.2539,-15.2082,39.2,75,40,8.05,IS,1619468711
Sola,-13.8833,167.55,75.2,94,40,12.48,VU,1619468791
Linares,-35.85,-71.6,72.75,29,0,6.2,CL,1619469206
Moerai,-22.4333,-151.3333,77.72,76,100,9.8,PF,1619469212
Rantepao,-2.9701,119.8978,66.02,98,34,1.23,ID,1619469213
Saint-Pierre,-21.3393,55.4781,77.0,73,90,11.5,RE,1619468910
Adeje,28.1227,-16.726,68.0,73,40,6.91,ES,1619469214
Polunochnoye,60.8697,60.4153,33.67,94,90,5.61,RU,1619469214
Bredasdorp,-34.5322,20.0403,53.6,87,0,2.3,ZA,1619468614
Flinders,-34.5833,150.8552,53.01,88,1,1.01,AU,1619468644
Senador José Porfírio,-2.5908,-51.9542,78.85,90,98,2.15,BR,1619469216
Talnakh,69.4865,88.3972,10.36,82,93,8.95,RU,1619468702
Opuwo,-18.0607,13.84,67.17,43,11,2.39,NA,1619468812
Lorengau,-2.0226,147.2712,80.87,76,99,1.92,PG,1619468750
Constitución,-35.3333,-72.4167,65.97,55,0,12.95,CL,1619468958
Busselton,-33.65,115.3333,57.0,91,100,1.03,AU,1619468685
Phan Thiet,10.9333,108.1,78.13,86,99,3.06,VN,1619469084
Butaritari,3.0707,172.7902,83.26,74,91,13.71,KI,1619468721
Rocha,-34.4833,-54.3333,61.25,66,0,9.89,UY,1619468687
Dubbo,-32.25,148.6167,44.6,76,0,12.66,AU,1619469197
Tasiilaq,65.6145,-37.6368,39.2,75,75,9.93,GL,1619468730
Hay River,60.8156,-115.7999,5.0,66,100,9.22,CA,1619469042
Devarkonda,16.7,78.9333,86.25,40,87,7.47,IN,1619469222
Mahébourg,-20.4081,57.7,78.8,78,75,16.11,MU,1619468692
Carutapera,-1.195,-46.02,78.71,83,100,6.87,BR,1619469223
Hilo,19.7297,-155.09,73.4,73,90,4.61,US,1619468700
Avarua,-21.2078,-159.775,80.6,78,20,4.61,CK,1619468703
Los Llanos de Aridane,28.6585,-17.9182,69.8,73,75,4.61,ES,1619468721
Zhigansk,66.7697,123.3711,12.92,91,100,16.46,RU,1619469225
Carnarvon,-24.8667,113.6333,62.6,72,0,5.75,AU,1619468730
Port Alfred,-33.5906,26.891,68.4,82,100,13.62,ZA,1619468698
Mar del Plata,-38.0023,-57.5575,62.6,63,0,8.05,AR,1619468689
Iskateley,67.6803,53.1512,36.57,96,100,4.54,RU,1619469227
Morgan City,29.6994,-91.2068,82.99,57,1,10.36,US,1619469228
Buluang,13.3068,123.3425,72.36,91,100,2.98,PH,1619469228
La Romana,18.4273,-68.9728,82.4,74,75,11.5,DO,1619469229
Praia,14.9215,-23.5087,71.6,68,20,19.57,CV,1619469230
Byron Bay,-28.65,153.6167,55.99,100,69,4.61,AU,1619468745
Celestún,20.8667,-90.4,86.23,59,5,12.35,MX,1619469231
Acajutla,13.5928,-89.8275,95.0,34,20,2.3,SV,1619469231
Nioki,-2.7167,17.6833,75.33,84,59,0.76,CD,1619469233
Bengkulu,-3.8004,102.2655,75.34,88,72,3.87,ID,1619468706
Khorramshahr,30.4397,48.1664,80.6,54,51,6.91,IR,1619469234
Fort Nelson,58.8053,-122.7002,26.6,68,90,9.22,CA,1619469234
Chikwawa,-16.0335,34.8009,75.31,72,85,0.98,MW,1619469235
Saint-Philippe,-21.3585,55.7679,77.0,73,90,11.5,RE,1619468687
Matagami,49.7502,-77.6328,41.0,42,1,11.5,CA,1619469236
Rio Rancho,35.2334,-106.6645,78.01,6,1,16.11,US,1619469237
Diamantino,-14.4086,-56.4461,76.91,76,89,2.93,BR,1619469237
Imbituba,-28.24,-48.6703,71.6,64,40,11.5,BR,1619469238
Selma,36.5708,-119.6121,66.99,36,40,9.22,US,1619469239
Tazovsky,67.4667,78.7,33.22,95,100,12.75,RU,1619469131
Orhei,47.3831,28.8231,37.4,75,0,1.14,MD,1619469240
Laguna,38.421,-121.4238,66.0,34,20,5.23,US,1619468697
Geraldton,-28.7667,114.6,59.0,72,21,9.22,AU,1619468709
Taoudenni,22.6783,-3.9836,97.48,11,59,9.66,ML,1619468708
Mudgee,-32.5943,149.5871,37.4,93,0,4.07,AU,1619469242
Bielsk Podlaski,52.7651,23.1865,33.01,78,53,6.08,PL,1619469243
Igrim,63.1906,64.4162,35.35,85,57,4.63,RU,1619469244
Tautira,-17.7333,-149.15,84.2,70,40,11.5,PF,1619468785
São Miguel do Tapuio,-5.5036,-41.3233,79.74,61,57,4.5,BR,1619469245
Egvekinot,66.3167,-179.1667,23.74,86,26,3.56,RU,1619469246
Ji’an,27.1172,114.9793,63.68,96,100,5.48,CN,1619468746
Vrangel',42.7297,133.0839,42.15,76,60,3.62,RU,1619469248
Lesozavodsk,45.4794,133.4244,41.45,52,79,8.34,RU,1619469249
San Andrés,12.5847,-81.7006,86.0,62,90,11.5,CO,1619469206
Saryozek,44.3583,77.9753,50.81,37,34,4.43,KZ,1619469250
Uruçuí,-7.2294,-44.5561,81.14,70,71,2.89,BR,1619469250
Greenwood,34.1668,-82.1165,77.0,40,1,4.61,US,1619469058
Koulikoro,14.0,-7.75,94.33,15,58,5.95,ML,1619469251
Karratha,-20.7377,116.8463,74.71,44,0,7.81,AU,1619468781
La Paz,-16.5,-68.15,57.2,18,20,11.5,BO,1619469004
Vidalia,32.2177,-82.4135,80.6,41,40,5.75,US,1619469253
Mount Isa,-20.7333,139.5,75.2,53,78,8.05,AU,1619468692
Pisco,-13.7,-76.2167,70.0,83,20,8.05,PE,1619468696
São Francisco,-15.9486,-44.8644,82.15,43,95,1.86,BR,1619469254
Oswego,43.4501,-76.1497,46.0,39,1,12.66,US,1619469255
Verkhnevilyuysk,63.4453,120.3167,14.11,90,99,8.57,RU,1619468641
Júlio de Castilhos,-29.2269,-53.6817,69.8,43,0,3.44,BR,1619469256
Kaitangata,-46.2817,169.8464,42.01,85,74,4.0,NZ,1619468696
Jurm,36.8648,70.8342,56.53,48,84,5.59,AF,1619469257
Balyqshy,47.0667,51.8667,53.6,82,75,15.66,KZ,1619469258
Hong Kong,22.2855,114.1577,73.99,91,100,17.36,HK,1619468714
Ulladulla,-35.35,150.4667,54.0,94,1,9.22,AU,1619468964
Hobyo,5.3505,48.5268,83.43,74,48,8.99,SO,1619469259
Lavrentiya,65.5833,-171.0,29.17,80,100,0.49,RU,1619468823
Lumut,4.2323,100.6298,77.0,88,20,4.41,MY,1619469260
Rongcheng,30.634,117.8517,60.17,98,100,2.19,CN,1619469261
Saint-François,46.4154,3.9054,55.99,71,0,2.33,FR,1619469261
Lakatoro,-16.0999,167.4164,78.78,79,100,9.44,VU,1619468789
Evinayong,1.4368,10.5512,70.16,96,99,1.99,GQ,1619469263
Namatanai,-3.6667,152.4333,79.25,80,63,3.33,PG,1619468810
Arlit,18.7369,7.3853,97.12,8,100,12.03,NE,1619468679
Ust-Kuyga,70.0167,135.6,29.32,96,100,5.77,RU,1619469264
Henties Bay,-22.116,14.2845,63.0,88,17,5.99,NA,1619469253
Krasnosel'kup,65.7,82.4667,26.42,91,68,12.17,RU,1619468778
Pevek,69.7008,170.3133,18.39,91,97,3.02,RU,1619468784
Hargeisa,9.56,44.065,67.37,80,100,14.0,SO,1619469266
Pierre,44.3683,-100.351,68.0,45,1,13.8,US,1619469266
Kutum,14.2,24.6667,76.8,10,56,10.09,SD,1619469267
Boyolangu,-8.1181,111.8935,74.5,91,44,2.3,ID,1619469268
Viedma,-40.8135,-62.9967,70.29,30,0,12.41,AR,1619468689
Lata,40.1629,-8.3327,62.01,93,46,4.0,PT,1619468991
Cape Town,-33.9258,18.4232,64.0,82,75,19.57,ZA,1619468522
Upernavik,72.7868,-56.1549,36.05,88,33,4.45,GL,1619468705
Road Town,18.4167,-64.6167,82.4,61,40,11.5,VG,1619469270
Uíge,-7.6087,15.0613,68.41,94,79,2.93,AO,1619469270
Puerto Ayora,-0.7393,-90.3518,82.4,69,40,19.57,EC,1619468684
Sørland,67.667,12.6934,32.0,93,40,5.75,NO,1619468795
Saint Paul Harbor,57.79,-152.4072,44.6,81,90,11.5,US,1619468472
Tuatapere,-46.1333,167.6833,39.99,89,92,1.01,NZ,1619468717
Vila Franca do Campo,37.7167,-25.4333,60.8,77,75,8.05,PT,1619468811
Bhopal,23.2667,77.4,84.4,8,8,1.97,IN,1619469274
Dunedin,-45.8742,170.5036,44.01,70,56,14.0,NZ,1619468725
Price,39.5994,-110.8107,57.2,23,90,21.85,US,1619469276
Bairiki Village,1.3292,172.9752,84.2,74,20,5.75,KI,1619469276
Valday,57.9747,33.2525,33.85,97,100,5.46,RU,1619469277
Chokurdakh,70.6333,147.9167,20.28,94,100,4.76,RU,1619468778
Kirensk,57.7853,108.1119,22.12,87,86,7.99,RU,1619469278
Riachão das Neves,-11.7461,-44.91,79.41,60,100,2.35,BR,1619469278
Santa Lucía,27.9117,-15.5407,69.01,73,75,10.36,ES,1619469279
Mackay,-21.15,149.2,59.0,94,51,5.75,AU,1619469280
Gravdal,68.1214,13.5031,32.0,86,40,3.44,NO,1619469281
Izhma,65.0083,53.9113,36.34,94,100,2.89,RU,1619469281
Golden Gate,26.1879,-81.6951,91.0,39,1,10.36,US,1619469282
Clearlake,38.9582,-122.6264,60.01,43,88,1.01,US,1619469282
Pangkalanbuun,-2.6833,111.6167,73.89,98,48,2.04,ID,1619469283
Cap Malheureux,-19.9842,57.6142,77.0,82,100,8.01,MU,1619469067
Taltal,-25.4,-70.4833,66.15,71,10,5.03,CL,1619469203
Malakal,9.5334,31.6605,77.95,69,99,6.58,SS,1619468732
Saint Anthony,45.0205,-93.218,51.01,61,90,8.05,US,1619468776
Złocieniec,53.5329,16.0113,33.01,59,1,1.01,PL,1619469285
Berdigestyakh,62.0989,126.6992,22.3,94,99,8.05,RU,1619469286
Blagoyevo,63.3667,47.9167,39.85,92,100,6.24,RU,1619469287
Verkh-Chebula,56.0308,87.6218,41.81,74,100,8.68,RU,1619469287
Bāzpur,29.15,79.1167,79.18,12,0,4.45,IN,1619469288
La Tuque,47.4334,-72.7824,35.6,64,100,14.97,CA,1619469048
Saskylakh,71.9167,114.0833,-0.92,99,99,4.54,RU,1619468703
Erzin,36.9559,36.2,66.0,86,27,5.01,TR,1619469289
Mossamedes,-15.1961,12.1522,76.17,73,2,8.25,AO,1619468761
Port Lincoln,-34.7333,135.8667,60.21,80,97,4.92,AU,1619468809
Horta,38.5333,-28.6333,60.8,77,40,3.47,PT,1619469291
San Patricio,28.017,-97.5169,84.2,61,90,19.57,US,1619468699
Provideniya,64.3833,-173.3,39.2,70,0,4.47,RU,1619468620
Brufut,13.3814,-16.7518,73.4,73,0,9.22,GM,1619469292
Piterka,50.6803,47.4454,48.34,57,100,4.12,RU,1619469293
Sungai Penuh,-2.0833,101.3833,63.84,95,94,3.42,ID,1619469293
Port Hedland,-20.3167,118.5667,60.8,72,0,4.61,AU,1619469294
Zhezkazgan,47.8043,67.7144,57.13,43,100,8.16,KZ,1619469293
Moreira Sales,-24.0622,-53.0069,69.96,42,0,6.69,BR,1619469176
Atar,20.5169,-13.0499,88.0,15,69,9.15,MR,1619468729
Charcas,23.1333,-101.1167,84.06,18,100,5.35,MX,1619469296
Maniitsoq,65.4167,-52.9,33.49,98,100,9.55,GL,1619469297
Broome,42.2506,-75.833,52.0,36,1,14.97,US,1619468701
Kahului,20.8947,-156.47,82.4,54,1,4.61,US,1619468505
Asău,46.4333,26.4,42.01,58,100,2.51,RO,1619468756
Neiafu,-18.65,-173.9833,80.6,83,75,11.5,TO,1619469299
Fulton,33.7668,-84.4499,79.0,38,1,9.22,US,1619469300
Benoy,8.9833,16.3199,90.32,33,43,3.69,TD,1619469300
Margate,51.3813,1.3862,44.01,74,100,4.0,GB,1619469301
Darhan,49.4867,105.9228,34.39,58,51,4.63,MN,1619468750
Cuenca,-2.8833,-78.9833,71.6,46,75,6.91,EC,1619469303
Marsabit,2.3284,37.9899,68.72,65,94,7.78,KE,1619469304
Maba,24.6841,113.5984,67.37,98,100,2.08,CN,1619469305
Moose Factory,51.2585,-80.6094,53.6,26,75,9.22,CA,1619469305
Sur,22.5667,59.5289,86.83,36,27,10.27,OM,1619469306
Yamada,39.4667,141.95,36.75,59,0,5.59,JP,1619468816
Kostanay,53.1667,63.5833,48.2,93,90,8.95,KZ,1619469266
Manggar,-2.8833,108.2667,81.82,71,12,7.07,ID,1619468779
Hambantota,6.1241,81.1185,79.7,83,77,7.81,LK,1619469059
Eldorado,-23.7869,-54.2836,70.34,46,0,7.2,BR,1619469309
Washington,47.5001,-120.5015,64.99,32,70,4.0,US,1619469156
Morros,-9.4467,-46.3003,77.07,77,97,1.77,BR,1619469310
Miyako,39.6367,141.9525,40.89,49,0,4.7,JP,1619469311
Kamenka,51.3223,42.7678,45.0,80,100,9.57,RU,1619468795
Coyhaique,-45.5752,-72.0662,55.4,76,75,6.91,CL,1619469312
Grand Gaube,-20.0064,57.6608,77.0,82,100,8.99,MU,1619468788
Souillac,-20.5167,57.5167,78.8,78,75,16.11,MU,1619468736
Mishan,45.55,131.8833,39.94,85,99,4.47,CN,1619469313
Nur-Sultan,51.1801,71.446,51.8,82,40,6.71,KZ,1619469314
Lodja,-3.4833,23.4333,73.96,82,53,1.61,CD,1619469315
São Borja,-28.6606,-56.0044,63.1,68,70,1.41,BR,1619469315
São Filipe,14.8961,-24.4956,72.77,76,4,12.15,CV,1619468738
Bay Saint Louis,30.3088,-89.33,77.0,50,1,9.22,US,1619469316
Pangody,65.85,74.4859,33.39,92,100,15.66,RU,1619469317
Warwick,41.7001,-71.4162,57.99,24,1,16.11,US,1619469041
Ilhabela,-23.7781,-45.3581,72.73,83,83,3.13,BR,1619469318
Puerto Escondido,15.85,-97.0667,87.8,70,40,4.61,MX,1619469318
Albacete,38.8333,-2.0,57.2,77,20,5.75,ES,1619469319
Sampang,-7.1872,113.2394,80.6,83,20,6.91,ID,1619469320
Shakiso,5.75,38.9167,60.13,99,100,1.25,ET,1619469320
Nioro,13.35,-15.75,85.6,33,9,12.33,GM,1619468740
Atambua,-9.1061,124.8925,67.71,63,84,4.54,ID,1619469322
Odienné,9.51,-7.5692,79.32,63,54,2.62,CI,1619469322
Spokane,47.6166,-117.3677,57.99,44,75,5.84,US,1619469222
Waipawa,-41.4122,175.5153,53.6,71,90,17.27,NZ,1619469324
Diffa,13.3154,12.6113,89.78,9,2,7.36,NE,1619469143
Qui Nhon,13.7667,109.2333,78.51,88,87,5.3,VN,1619469325
Raja,8.4596,25.678,78.55,60,41,3.83,SS,1619469325
Van Buren,35.4368,-94.3483,84.2,34,1,10.36,US,1619469326
Launceston,-41.45,147.1667,39.99,93,19,4.61,AU,1619469327
Cayenne,4.9333,-52.3333,78.01,94,90,2.3,GF,1619469327
George,-33.963,22.4617,60.8,94,90,2.3,ZA,1619469059
Tres Arroyos,-38.3739,-60.2798,60.55,63,0,5.48,AR,1619469328
Biak,-0.9131,122.8766,75.67,85,98,5.59,ID,1619468752
Loudon,35.7328,-84.3338,78.01,44,9,1.01,US,1619469329
Awjilah,29.1081,21.2869,70.36,30,7,6.26,LY,1619469330
Chatrā,24.2167,84.8667,75.31,11,2,6.13,IN,1619469331
Dwārka,22.2394,68.9678,80.74,77,0,10.22,IN,1619469331
Mashivka,49.4431,34.8669,34.38,90,8,5.82,UA,1619469332
Knysna,-34.0363,23.0471,60.8,94,90,2.3,ZA,1619469199
Castaños,26.7833,-101.4167,93.2,20,75,8.05,MX,1619469333
Bundaberg,-24.85,152.35,64.0,88,0,6.91,AU,1619469334
Anaconda,46.1285,-112.9423,46.4,34,40,6.04,US,1619469334
Kalininskaya,45.4822,38.6628,45.0,93,3,1.99,RU,1619469335
Kongolo,-5.3833,27.0,72.28,92,100,1.9,CD,1619469336
Kloulklubed,7.0419,134.2556,77.0,88,75,7.52,PW,1619469336
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.0,100,90,2.24,RU,1619469303
Garachiné,8.0647,-78.3628,82.49,75,96,4.07,PA,1619469337
Hamilton,39.1834,-84.5333,73.99,35,1,8.05,US,1619469197
Kiryat Gat,31.61,34.7642,64.99,100,49,6.08,IL,1619469255
Largo,27.9095,-82.7873,88.0,57,0,9.22,US,1619469313
San Quintín,30.4833,-115.95,61.05,67,100,16.22,MX,1619469339
Copiapó,-27.3667,-70.3333,66.2,59,20,13.8,CL,1619469340
Chirongui,-12.9319,45.1483,80.6,83,0,5.75,YT,1619469340
Miepherkeim,38.1419,41.0081,75.2,31,0,10.36,TR,1619469341
Biloela,-24.4167,150.5,60.58,83,0,5.39,AU,1619469342
Ikot Ekpene,5.1794,7.7108,76.71,90,26,5.95,NG,1619469342
Aksarka,66.5606,67.7975,33.98,99,100,8.05,RU,1619469343
Porirua,-41.1333,174.85,54.0,77,98,3.0,NZ,1619469344
Parkersburg,39.2667,-81.5615,70.0,23,1,4.61,US,1619469289
Batticaloa,7.7102,81.6924,79.23,82,29,9.04,LK,1619469345
Baghdad,33.3406,44.4009,93.2,17,40,10.36,IQ,1619469345
Yima,34.7381,111.8839,54.82,76,100,7.16,CN,1619469346
‘Ewa Beach,21.3156,-158.0072,78.8,61,75,4.61,US,1619469346
Plettenberg Bay,-34.0527,23.3716,59.9,94,54,5.48,ZA,1619469347
Puerto del Rosario,28.5004,-13.8627,69.8,60,20,10.36,ES,1619469348
Seymchan,62.8833,152.4333,6.4,86,18,3.62,RU,1619469318
Kyabram,-36.3167,145.05,46.99,90,0,6.78,AU,1619469349
Bandarbeyla,9.4942,50.8122,83.05,72,80,6.13,SO,1619469078
Grindavik,63.8424,-22.4338,46.4,71,0,2.3,IS,1619469350
Bereda,43.2686,-7.5406,53.01,100,59,5.01,ES,1619469333
Ixtapa,20.7,-105.2,82.4,69,75,13.8,MX,1619469351
Verkhnyaya Toyma,62.2349,44.9985,37.96,94,100,3.11,RU,1619469352
Palmas Bellas,9.2319,-80.0867,88.0,66,80,8.01,PA,1619469352
Aswān,24.0934,32.907,80.6,19,0,17.09,EG,1619469077
Leningradskiy,69.3833,178.4167,27.21,91,48,5.32,RU,1619469353
Kâhta,37.7855,38.6237,59.0,51,0,9.22,TR,1619469354
Wajima,37.4,136.9,45.81,66,69,8.14,JP,1619469355
Tamsweg,47.1281,13.811,36.0,95,100,3.0,AT,1619469355
Nola,40.922,14.5329,62.6,59,0,3.44,IT,1619469356
Wanning,18.8003,110.3967,77.65,88,100,4.27,CN,1619469356
Casper,42.8666,-106.3131,68.0,12,20,28.77,US,1619469238
Havøysund,70.9963,24.6622,32.0,93,75,12.66,NO,1619469176
Mudkhed,19.1667,77.5167,88.43,28,100,12.64,IN,1619469358
Cabedelo,-6.9811,-34.8339,80.6,94,0,9.22,BR,1619469358
Berlevåg,70.8578,29.0864,32.0,86,90,9.22,NO,1619469359
Malbork,54.0359,19.0266,35.01,71,95,5.06,PL,1619469359
Touros,-5.1989,-35.4608,82.4,74,20,11.5,BR,1619469361
Yenagoa,4.9247,6.2642,79.43,87,14,4.25,NG,1619469362
